route_id,route_name,origin_location_id,route_type,total_distance_km,estimated_duration_minutes,number_of_stops,complexity_score,traffic_density,road_quality,weather_risk,is_active,created_date
1,Route Sydney-1,1,Urban,117.0,166.0,5,3.1,Low,Excellent,High,True,2025-02-17
2,Route Sydney-2,1,Urban,243.1,313.0,8,3.4,Low,Excellent,Medium,True,2024-11-16
3,Route Sydney-3,1,Highway,117.8,272.0,5,5.6,Low,Excellent,Medium,True,2025-03-22
4,Route Sydney-4,1,Highway,85.1,169.0,3,6.2,Medium,Poor,Low,True,2025-03-14
5,Route Sydney-5,1,Rural,159.6,357.0,8,6.0,High,Poor,High,True,2025-03-04
6,Route Sydney-6,1,Rural,267.4,496.0,8,2.1,Low,Good,Low,True,2025-09-07
7,Route Sydney-7,1,Rural,139.5,172.0,5,2.8,Low,Good,Medium,True,2025-03-24
8,Route Sydney-8,1,Rural,107.3,239.0,4,3.2,Low,Good,Medium,True,2025-03-30
9,Route Sydney-9,1,Urban,153.5,373.0,6,3.7,Low,Fair,Medium,True,2025-05-30
10,Route Sydney-10,1,Highway,241.9,312.0,8,2.7,High,Good,Low,True,2025-03-03
11,Route Sydney-11,1,Highway,104.4,211.0,4,1.2,Medium,Fair,High,True,2024-09-29
12,Route Sydney-12,1,Mixed,222.1,415.0,7,7.6,High,Excellent,Low,True,2024-11-14
13,Route Melbourne-13,5,Urban,125.5,300.0,5,6.6,Medium,Poor,Low,False,2025-04-10
14,Route Melbourne-14,5,Rural,95.0,223.0,5,5.9,Medium,Good,Low,True,2025-08-21
15,Route Melbourne-15,5,Suburban,95.3,172.0,4,9.3,Medium,Excellent,Low,True,2024-10-31
16,Route Melbourne-16,5,Highway,189.7,365.0,5,6.7,Medium,Good,High,True,2025-07-26
17,Route Melbourne-17,5,Highway,248.0,601.0,8,5.5,High,Poor,Low,True,2024-10-28
18,Route Melbourne-18,5,Suburban,172.7,256.0,5,5.2,Low,Excellent,High,True,2025-01-31
19,Route Melbourne-19,5,Urban,111.4,224.0,5,8.0,Low,Poor,Medium,True,2025-01-01
20,Route Melbourne-20,5,Rural,114.4,183.0,4,8.9,Medium,Poor,High,True,2025-03-28
21,Route Melbourne-21,5,Urban,137.9,233.0,6,1.9,Low,Excellent,Low,True,2024-10-31
22,Route Melbourne-22,5,Urban,188.6,342.0,6,2.2,Medium,Fair,High,True,2025-01-07
23,Route Melbourne-23,5,Urban,40.9,102.0,3,9.9,High,Excellent,Low,True,2025-02-02
24,Route Melbourne-24,5,Suburban,155.2,310.0,6,1.6,High,Fair,Low,True,2025-01-03
25,Route Melbourne-25,5,Mixed,169.9,304.0,8,3.8,High,Poor,Medium,True,2024-09-28
26,Route Melbourne-26,5,Suburban,133.3,240.0,4,1.3,Low,Excellent,Low,True,2024-11-09
27,Route Melbourne-27,5,Rural,121.0,221.0,6,2.1,High,Fair,High,True,2025-07-01
28,Route Melbourne-28,5,Rural,149.1,335.0,6,2.7,Medium,Poor,High,True,2025-02-19
29,Route Brisbane-29,9,Suburban,168.6,326.0,6,1.1,Low,Fair,Medium,False,2025-08-26
30,Route Brisbane-30,9,Suburban,152.5,363.0,5,4.8,Low,Fair,High,True,2025-01-07
31,Route Brisbane-31,9,Mixed,157.7,324.0,7,3.5,Medium,Good,Medium,True,2024-12-30
32,Route Brisbane-32,9,Urban,228.7,396.0,8,5.3,Medium,Poor,High,True,2024-11-24
33,Route Brisbane-33,9,Mixed,163.0,369.0,5,3.3,Medium,Excellent,High,True,2025-06-15
34,Route Brisbane-34,9,Highway,120.3,294.0,4,5.8,High,Poor,Low,True,2024-09-18
35,Route Brisbane-35,9,Urban,231.5,364.0,8,8.7,Medium,Fair,Low,True,2025-04-06
36,Route Brisbane-36,9,Urban,65.8,120.0,4,2.2,High,Fair,Low,True,2024-10-12
37,Route Brisbane-37,9,Urban,219.4,461.0,8,1.7,Low,Excellent,Low,True,2024-10-04
38,Route Brisbane-38,9,Urban,128.3,315.0,3,7.9,Medium,Excellent,High,True,2025-03-13
39,Route Brisbane-39,9,Suburban,159.2,271.0,7,5.9,Medium,Excellent,High,True,2025-01-09
40,Route Brisbane-40,9,Mixed,82.3,155.0,3,2.7,High,Fair,Low,True,2025-03-02
41,Route Brisbane-41,9,Rural,182.0,365.0,6,8.0,High,Excellent,High,True,2025-01-19
42,Route Brisbane-42,9,Mixed,236.1,341.0,8,4.2,High,Fair,High,True,2025-02-03
43,Route Brisbane-43,9,Rural,259.1,357.0,8,6.0,High,Fair,Low,True,2025-07-20
44,Route Perth-44,13,Highway,216.5,298.0,8,8.3,Low,Fair,Medium,True,2025-07-20
45,Route Perth-45,13,Rural,97.7,211.0,3,1.2,Medium,Fair,Low,True,2024-11-05
46,Route Perth-46,13,Highway,143.7,190.0,4,7.9,Medium,Excellent,Low,True,2024-11-07
47,Route Perth-47,13,Mixed,219.5,495.0,7,9.4,High,Fair,High,True,2025-05-08
48,Route Perth-48,13,Rural,91.0,218.0,3,1.8,Medium,Fair,High,False,2025-06-23
49,Route Perth-49,13,Urban,61.9,146.0,3,5.2,Medium,Poor,High,True,2025-05-20
50,Route Perth-50,13,Mixed,111.3,158.0,4,7.3,Low,Excellent,Medium,True,2024-11-11
51,Route Perth-51,13,Suburban,245.7,479.0,8,5.4,Low,Excellent,Medium,True,2025-06-11
52,Route Perth-52,13,Urban,214.4,429.0,8,7.4,Medium,Poor,Low,True,2024-10-20
53,Route Perth-53,13,Suburban,210.0,516.0,6,2.2,Low,Good,Low,True,2025-05-04
54,Route Adelaide-54,16,Highway,164.6,286.0,8,2.9,Low,Good,High,True,2025-05-04
55,Route Adelaide-55,16,Highway,87.2,179.0,3,5.0,Low,Good,Low,True,2025-02-06
56,Route Adelaide-56,16,Rural,149.6,364.0,4,1.4,Low,Poor,Medium,True,2025-08-13
57,Route Adelaide-57,16,Highway,81.4,109.0,3,2.3,Medium,Good,Medium,True,2025-01-20
58,Route Adelaide-58,16,Highway,180.4,378.0,6,8.6,Medium,Fair,Low,True,2024-10-04
59,Route Adelaide-59,16,Suburban,156.4,291.0,6,2.0,High,Fair,High,True,2025-05-21
60,Route Adelaide-60,16,Urban,92.8,201.0,3,1.6,Low,Good,Medium,True,2025-02-27
61,Route Adelaide-61,16,Mixed,136.8,306.0,4,9.3,High,Poor,High,False,2024-12-28
62,Route Adelaide-62,16,Urban,85.7,166.0,3,5.3,Low,Excellent,High,True,2024-10-20
63,Route Adelaide-63,16,Highway,205.6,398.0,6,1.9,Medium,Good,Low,True,2024-11-17
64,Route Adelaide-64,16,Urban,140.8,272.0,5,1.9,Low,Good,Medium,True,2024-09-27
65,Route Gold Coast-65,19,Suburban,191.1,263.0,6,3.0,Low,Excellent,Medium,False,2025-05-06
66,Route Gold Coast-66,19,Urban,253.0,505.0,7,8.2,High,Good,Low,True,2025-06-27
67,Route Gold Coast-67,19,Suburban,148.4,336.0,5,8.2,Medium,Excellent,Low,True,2025-01-09
68,Route Gold Coast-68,19,Rural,109.0,181.0,4,6.0,Low,Excellent,High,False,2025-05-12
69,Route Gold Coast-69,19,Highway,199.3,290.0,8,5.1,High,Poor,Low,True,2025-05-11
70,Route Gold Coast-70,19,Highway,70.5,142.0,3,8.5,Medium,Good,High,False,2024-10-19
71,Route Gold Coast-71,19,Rural,82.5,172.0,4,2.0,Low,Good,Low,True,2025-09-02
72,Route Gold Coast-72,19,Mixed,73.5,156.0,3,9.0,High,Fair,Medium,True,2025-04-04
73,Route Gold Coast-73,19,Suburban,222.4,342.0,7,9.3,Low,Good,Medium,True,2025-06-22
74,Route Gold Coast-74,19,Urban,163.3,309.0,7,6.0,Medium,Good,Low,True,2025-09-03
75,Route Gold Coast-75,19,Urban,189.9,361.0,7,4.1,High,Excellent,Medium,True,2025-03-27
76,Route Gold Coast-76,19,Mixed,162.0,328.0,7,2.3,Medium,Excellent,Medium,True,2025-06-19
77,Route Gold Coast-77,19,Urban,185.6,225.0,7,8.0,High,Excellent,High,False,2025-03-20
78,Route Newcastle-78,22,Urban,120.5,174.0,4,5.0,High,Fair,Low,True,2024-09-24
79,Route Newcastle-79,22,Highway,199.8,435.0,8,2.4,High,Good,High,True,2025-05-16
80,Route Newcastle-80,22,Highway,187.8,418.0,7,4.4,Low,Poor,Medium,False,2025-03-31
81,Route Newcastle-81,22,Suburban,189.1,294.0,7,4.6,High,Excellent,Low,True,2025-09-05
82,Route Newcastle-82,22,Mixed,125.4,178.0,5,4.4,Low,Excellent,High,True,2024-12-27
83,Route Newcastle-83,22,Mixed,184.7,226.0,6,8.0,High,Good,Low,False,2024-12-02
84,Route Newcastle-84,22,Mixed,177.0,417.0,5,7.6,Medium,Fair,High,True,2025-07-18
85,Route Newcastle-85,22,Highway,192.7,247.0,6,3.2,High,Excellent,Low,True,2025-07-22
86,Route Newcastle-86,22,Rural,207.9,255.0,7,7.8,Low,Fair,High,True,2025-04-18
87,Route Newcastle-87,22,Rural,153.8,374.0,7,2.4,Medium,Fair,Low,True,2024-10-18
88,Route Newcastle-88,22,Urban,101.9,148.0,4,7.0,Medium,Poor,Medium,True,2025-04-01
89,Route Newcastle-89,22,Suburban,195.2,240.0,5,7.6,Medium,Good,High,True,2025-01-13
90,Route Newcastle-90,22,Urban,207.1,434.0,7,3.6,High,Excellent,Medium,True,2025-04-21
91,Route Newcastle-91,22,Highway,117.1,180.0,4,9.0,Low,Poor,High,True,2025-03-16
92,Route Newcastle-92,22,Urban,112.8,204.0,4,5.9,High,Good,Low,True,2025-08-25
93,Route Canberra-93,26,Mixed,212.3,519.0,8,7.9,Medium,Fair,Medium,False,2025-01-20
94,Route Canberra-94,26,Urban,215.5,266.0,7,6.3,Medium,Poor,Low,True,2024-11-23
95,Route Canberra-95,26,Mixed,189.0,429.0,7,2.1,High,Poor,Low,True,2024-09-26
96,Route Canberra-96,26,Mixed,133.2,251.0,8,3.6,High,Fair,Low,True,2025-03-30
97,Route Canberra-97,26,Mixed,213.2,517.0,7,6.4,Low,Excellent,Low,True,2025-02-04
98,Route Canberra-98,26,Suburban,90.3,194.0,5,5.7,Medium,Excellent,Medium,True,2024-10-21
99,Route Canberra-99,26,Urban,174.0,326.0,5,2.0,Low,Poor,Low,True,2025-09-11
100,Route Canberra-100,26,Mixed,117.9,203.0,4,1.8,Low,Poor,Low,True,2025-04-04
101,Route Canberra-101,26,Suburban,67.4,96.0,3,3.3,Medium,Fair,Low,True,2024-12-31
102,Route Canberra-102,26,Suburban,197.6,274.0,7,9.9,Medium,Fair,High,True,2024-11-23
103,Route Canberra-103,26,Rural,66.5,125.0,3,8.0,Medium,Fair,Low,True,2025-06-26
104,Route Canberra-104,26,Highway,228.2,304.0,8,5.1,High,Excellent,High,True,2024-11-13
105,Route Canberra-105,26,Highway,166.7,416.0,7,6.2,Low,Poor,High,True,2025-09-01
106,Route Canberra-106,26,Mixed,266.9,543.0,7,7.7,High,Poor,Low,True,2025-05-24
107,Route Canberra-107,26,Mixed,147.1,205.0,5,1.9,Low,Fair,High,True,2024-10-09
108,Route Canberra-108,26,Suburban,145.6,328.0,4,3.6,Low,Poor,Medium,True,2025-09-04
109,Route Canberra-109,26,Rural,109.4,199.0,3,6.8,Medium,Poor,Low,True,2024-11-23
110,Route Canberra-110,26,Suburban,142.7,268.0,4,3.9,High,Fair,High,True,2025-06-06
111,Route Canberra-111,26,Urban,275.1,673.0,7,9.8,High,Poor,Medium,False,2025-01-05
112,Route Canberra-112,26,Urban,103.7,214.0,4,8.1,Medium,Poor,Medium,True,2024-10-24
113,Route Sunshine Coast-113,31,Suburban,91.8,192.0,4,7.9,High,Fair,High,True,2024-11-09
114,Route Sunshine Coast-114,31,Suburban,47.0,89.0,3,6.3,Medium,Fair,High,True,2025-08-10
115,Route Sunshine Coast-115,31,Mixed,93.7,113.0,3,4.9,Medium,Poor,Low,True,2024-12-21
116,Route Sunshine Coast-116,31,Suburban,109.5,142.0,3,8.3,Medium,Excellent,Low,True,2025-08-28
117,Route Sunshine Coast-117,31,Rural,172.9,280.0,6,4.7,Low,Good,High,True,2025-08-13
118,Route Sunshine Coast-118,31,Suburban,163.3,256.0,8,1.5,Medium,Good,High,True,2024-10-06
119,Route Sunshine Coast-119,31,Rural,171.0,366.0,6,9.3,Low,Good,High,True,2024-12-14
120,Route Sunshine Coast-120,31,Rural,202.0,295.0,7,3.1,Low,Fair,Medium,True,2025-04-24
121,Route Sunshine Coast-121,31,Rural,109.4,263.0,4,1.1,Low,Excellent,Low,True,2024-12-13
122,Route Sunshine Coast-122,31,Highway,60.9,138.0,3,2.2,Medium,Fair,Medium,True,2025-03-23
123,Route Sunshine Coast-123,31,Suburban,118.6,234.0,4,8.8,Medium,Excellent,Low,True,2025-03-21
124,Route Wollongong-124,34,Rural,159.3,364.0,7,5.2,Low,Good,Medium,True,2025-08-31
125,Route Wollongong-125,34,Mixed,88.1,162.0,6,5.8,Low,Excellent,High,True,2024-12-25
126,Route Wollongong-126,34,Rural,240.4,425.0,7,8.8,Low,Good,Low,True,2025-01-12
127,Route Wollongong-127,34,Rural,122.9,239.0,4,9.6,Low,Poor,High,True,2025-04-08
128,Route Wollongong-128,34,Mixed,219.2,520.0,8,8.0,Low,Excellent,Medium,True,2024-10-11
129,Route Wollongong-129,34,Rural,147.1,207.0,6,7.1,High,Fair,Low,True,2024-09-28
130,Route Wollongong-130,34,Urban,210.1,508.0,7,9.8,Low,Fair,High,True,2025-05-07
131,Route Wollongong-131,34,Mixed,197.3,397.0,6,3.6,High,Excellent,Low,True,2025-08-18
132,Route Wollongong-132,34,Suburban,132.0,277.0,3,7.0,High,Poor,High,True,2024-09-24
133,Route Wollongong-133,34,Urban,255.2,328.0,8,3.6,Medium,Poor,Low,True,2025-04-08
134,Route Wollongong-134,34,Suburban,152.4,290.0,6,1.2,High,Poor,Medium,True,2025-04-20
135,Route Wollongong-135,34,Rural,89.5,221.0,3,6.5,Medium,Poor,High,True,2024-10-25
136,Route Wollongong-136,34,Urban,207.6,302.0,7,8.1,High,Fair,High,True,2025-06-24
137,Route Wollongong-137,34,Highway,212.9,439.0,6,7.8,Medium,Poor,High,True,2025-05-14
